Title,Description,Creator,Source,Publisher,Date,Contributor,Rights,Relation,Identifier,Language,Type,XML,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Image 8
Elias Lönnrot > Carl Niklas Keckman,Kirjoituspaikka: Uhutkylä,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran arkiston kirjallisuuden ja kulttuurihistorian arkistoaineistot,Suomalaisen Kirjallisuuden Seura,1826-11-24,Suomalaisen Kirjallisuuden Seura,Suomalaisen Kirjallisuuden Seura,Lna 79,2003,suomi,kirjekonsepti,http://localhost/uploads/2003_C.N.Keckman.xml,http://localhost/uploads/lna079_242_f.jpg,http://localhost/uploads/lna079_243_f.jpg,,,,,,
Elias Lönnrot > Carl Niklas Keckman,Kirjoituspaikka: Uhutkylä,"Lönnrot, Elias",Suomalaisen Kirjallisuuden Seuran arkiston kirjallisuuden ja kulttuurihistorian arkistoaineistot,Suomalaisen Kirjallisuuden Seura,1836-11-24,Suomalaisen Kirjallisuuden Seura,Suomalaisen Kirjallisuuden Seura,20:28,2151,suomi,kirje,http://localhost/uploads/2151_C.N.Keckman.xml,http://localhost/uploads/lnak020_028a_f.jpg,http://localhost/uploads/lnak020_028b_f.jpg,http://localhost/uploads/lnak020_028c_f.jpg,http://localhost/uploads/lnak020_028d_f.jpg,,,,
